"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"2410089E03Rik.1",1.86344270215865e-14,0.249013329093371,0.268,0.103,5.2172668775038e-10,"6","2410089E03Rik"
"Sept7.6",1.88469593235562e-14,-0.45003953901402,0.484,0.658,5.27677167140926e-10,"6","Sept7"
"Mlf2.5",1.89125157496595e-14,-0.30406479570293,0.606,0.698,5.29512615958968e-10,"6","Mlf2"
"Plcb1.4",1.91115249224271e-14,-0.241230602436827,0.012,0.157,5.35084474778113e-10,"6","Plcb1"
"Mipep",1.96353811061827e-14,0.192360155260734,0.189,0.057,5.49751400210904e-10,"6","Mipep"
"Lamb3.4",2.05414851790165e-14,-0.376344819300331,0.13,0.338,5.75120502042103e-10,"6","Lamb3"
"Slc25a10.6",2.10821222953491e-14,0.276802311494542,0.425,0.232,5.90257260025184e-10,"6","Slc25a10"
"Dock8.1",2.11142543381889e-14,0.222916100816247,0.217,0.067,5.91156892960612e-10,"6","Dock8"
"Thbs1.6",2.31743561181066e-14,-0.683653467735268,0.236,0.44,6.48835622594747e-10,"6","Thbs1"
"Ppp1ca.4",2.39787027666383e-14,-0.348750941176475,0.669,0.795,6.71355720060339e-10,"6","Ppp1ca"
"Gnb4.5",2.54603735341853e-14,-0.349894428066003,0.055,0.236,7.12839538210121e-10,"6","Gnb4"
"Chd3os",2.60476587140024e-14,0.207624010650519,0.157,0.036,7.29282348674638e-10,"6","Chd3os"
"Plpp1.5",2.75840590098424e-14,-0.555040492977411,0.063,0.231,7.72298484157567e-10,"6","Plpp1"
"Uhrf2.2",2.77770820486328e-14,-0.313878083198525,0.142,0.343,7.77702743197622e-10,"6","Uhrf2"
"Lrrc27",2.79749867544758e-14,0.152913472586287,0.114,0.02,7.83243679151813e-10,"6","Lrrc27"
"Htra1.6",2.98072931296952e-14,-0.758505299533461,0.083,0.273,8.34544593045206e-10,"6","Htra1"
"Tmc4.5",3.11665305853341e-14,0.326058333104397,0.5,0.284,8.72600523328184e-10,"6","Tmc4"
"Gpr137",3.12308151430998e-14,0.253644784202007,0.24,0.104,8.74400362376509e-10,"6","Gpr137"
"Gltscr2.4",3.13209314173542e-14,-0.377980622490008,0.531,0.692,8.76923437823084e-10,"6","Gltscr2"
"Anapc13.4",3.23002569439333e-14,0.331396477929214,0.866,0.716,9.04342593916243e-10,"6","Anapc13"
"Gns.3",3.29388133705332e-14,0.310982864038685,0.441,0.256,9.22220896748187e-10,"6","Gns"
"Rabgap1l.6",3.35708414075721e-14,0.385236244121318,0.543,0.355,9.39916417729202e-10,"6","Rabgap1l"
"Srpr.4",3.57342324391615e-14,-0.305465041525887,0.181,0.35,1.00048703983164e-09,"6","Srpr"
"Homer3.4",3.58876338516421e-14,-0.275911407986517,0.024,0.181,1.00478197257828e-09,"6","Homer3"
"Anxa5.6",3.61199515281897e-14,-0.519351909812276,0.539,0.698,1.01128640288626e-09,"6","Anxa5"
"Kiz.1",3.99135560879531e-14,0.242513558121063,0.311,0.124,1.11749974335051e-09,"6","Kiz"
"Mgll.6",4.43270616527926e-14,-0.363998459121875,0.043,0.214,1.24106907215489e-09,"6","Mgll"
"Dkk3.6",4.45860410621526e-14,-0.413923714119292,0.028,0.188,1.24831997765815e-09,"6","Dkk3"
"Serbp1.4",4.54369198875182e-14,-0.261299810805811,0.819,0.844,1.27214288301073e-09,"6","Serbp1"
"1810010H24Rik.4",4.71073089972962e-14,0.21802963336958,0.264,0.091,1.3189104373063e-09,"6","1810010H24Rik"
"Fxyd6.6",4.873723776171e-14,-0.419612469169978,0.024,0.18,1.36454518285236e-09,"6","Fxyd6"
"Spsb4",5.19843127721591e-14,0.160379404996745,0.11,0.018,1.45545678899491e-09,"6","Spsb4"
"Akap5.6",5.51369445513048e-14,-0.690080656230204,0.091,0.276,1.54372417354743e-09,"6","Akap5"
"Pcdh17.6",5.51539001321117e-14,-0.602212774495313,0.012,0.153,1.54419889589886e-09,"6","Pcdh17"
"Snhg6.2",5.65576341805386e-14,-0.332945526343416,0.264,0.474,1.58350064178672e-09,"6","Snhg6"
"Kdelr2.6",5.95774397226378e-14,-0.378702789411012,0.378,0.543,1.66804915735441e-09,"6","Kdelr2"
"Bbs5",5.96170497050342e-14,0.183563190834141,0.142,0.036,1.66915815764155e-09,"6","Bbs5"
"Ccnc",5.96411496475158e-14,0.251630443058939,0.28,0.129,1.66983290783115e-09,"6","Ccnc"
"Cttnbp2nl.6",6.25437882639602e-14,-0.335984463848834,0.13,0.333,1.75110098381436e-09,"6","Cttnbp2nl"
"S1pr1.5",6.28865848144458e-14,-0.450200202830873,0.028,0.164,1.76069860163485e-09,"6","S1pr1"
"Spon2.6",6.39084105304056e-14,-0.673405993269422,0.059,0.203,1.78930767803029e-09,"6","Spon2"
