"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Crlf3",2.66049091399947e-11,-0.120594038024192,0.132,0.202,7.44884246101571e-07,"1","Crlf3"
"Prdx6.1",2.85145701060242e-11,-0.320243103369319,0.722,0.769,7.98350933828464e-07,"1","Prdx6"
"Ndufs8",3.14960784166346e-11,-0.103724338961956,0.524,0.615,8.81827203508936e-07,"1","Ndufs8"
"Tubb4b.1",3.43906169804351e-11,-0.298926584133443,0.546,0.566,9.62868494218223e-07,"1","Tubb4b"
"Kras.1",3.57065416840477e-11,-0.125541662584515,0.503,0.589,9.99711754069967e-07,"1","Kras"
"Bmp1.1",4.70346774439369e-11,0.127165965729068,0.304,0.237,1.31687689907535e-06,"1","Bmp1"
"Cuedc2.1",5.10859132110023e-11,-0.124115737114812,0.328,0.416,1.43030339808164e-06,"1","Cuedc2"
"Aes.1",5.16255682993702e-11,-0.106043644037209,0.653,0.721,1.44541266124577e-06,"1","Aes"
"Idh3g",6.61614329677445e-11,-0.111358133095574,0.317,0.405,1.85238780023091e-06,"1","Idh3g"
"2700094K13Rik.1",6.77592918773124e-11,-0.148593137494848,0.578,0.571,1.89712465398099e-06,"1","2700094K13Rik"
"Romo1.1",1.42151008130754e-10,-0.10439284805329,0.748,0.798,3.97994392564486e-06,"1","Romo1"
"Rpl18a.1",1.54024979848257e-10,-0.112452713122102,0.995,0.998,4.3123913857915e-06,"1","Rpl18a"
"Nckap5",1.94089147440198e-10,0.108232569247273,0.343,0.263,5.43410795003067e-06,"1","Nckap5"
"Nfkbiz.1",2.47862942420328e-10,0.101878619046784,0.272,0.239,6.93966666188434e-06,"1","Nfkbiz"
"Eif3m",3.18455510449178e-10,-0.123622829028316,0.555,0.632,8.91611738155608e-06,"1","Eif3m"
"Ddost",3.27107667559242e-10,-0.130588380544418,0.495,0.574,9.15836047632366e-06,"1","Ddost"
"Gata6.1",3.48019811609546e-10,-0.10142270872914,0.265,0.346,9.74385868544407e-06,"1","Gata6"
"Tspan1.1",3.81656645249126e-10,-0.178548224886579,0.192,0.226,1.0685622753685e-05,"1","Tspan1"
"Rplp2",3.98245942558096e-10,-0.101175757692419,0.994,0.998,1.11500898997416e-05,"1","Rplp2"
"Cd14.1",5.83065773934715e-10,-0.135214098064138,0.151,0.214,1.63246755386241e-05,"1","Cd14"
"Mdh1.1",5.98327195493894e-10,-0.131398589172448,0.479,0.555,1.67519648194381e-05,"1","Mdh1"
"Sec11c.1",7.50944016902483e-10,-0.105489649612366,0.403,0.488,2.10249305852357e-05,"1","Sec11c"
"Ndst1.1",7.60259269459162e-10,-0.100184268422379,0.144,0.211,2.12857390263176e-05,"1","Ndst1"
"Snx2.1",8.43295173650364e-10,-0.103694917383657,0.332,0.416,2.36105782718629e-05,"1","Snx2"
"Klf5.1",1.27480257167856e-09,-0.138906837252583,0.255,0.31,3.56919224018562e-05,"1","Klf5"
"Rab34.1",1.27687432395681e-09,-0.152610323161422,0.28,0.329,3.57499273221429e-05,"1","Rab34"
"Atp5a1",1.59286189929436e-09,-0.104365645054238,0.754,0.817,4.45969474564435e-05,"1","Atp5a1"
"Gpx4.1",2.01062742512284e-09,-0.150580789434726,0.888,0.924,5.62935466485893e-05,"1","Gpx4"
"Acadsb.1",2.9935060685082e-09,-0.10207177440706,0.141,0.205,8.38121829060926e-05,"1","Acadsb"
"Tcn2.1",4.0578013471317e-09,-0.145637761405654,0.272,0.337,0.000113610322116993,"1","Tcn2"
"Mmd.1",4.8590524052555e-09,-0.109949194587349,0.16,0.214,0.000136043749242344,"1","Mmd"
"Tspan2",5.10498964102455e-09,-0.108583164277011,0.209,0.28,0.000142929499969405,"1","Tspan2"
"Slc12a2.1",5.2216355704844e-09,0.108472680651539,0.428,0.357,0.000146195352702422,"1","Slc12a2"
"Bpgm.1",5.8588819221495e-09,-0.109581188181245,0.171,0.238,0.000164036976056342,"1","Bpgm"
"Dusp1",6.79078326094067e-09,-0.204718554327701,0.515,0.594,0.000190128349739817,"1","Dusp1"
"Cd59a.1",7.66032464843632e-09,-0.103801480822131,0.092,0.139,0.00021447376950692,"1","Cd59a"
"Adrb2",7.86317268979855e-09,-0.108148506429158,0.095,0.147,0.00022015310896898,"1","Adrb2"
"Mast4.1",1.51094460175498e-08,-0.109543273625494,0.169,0.233,0.000423034269599359,"1","Mast4"
"Nfe2l2.1",2.80450915649773e-08,-0.100472868329692,0.512,0.504,0.000785206473636233,"1","Nfe2l2"
"Slbp",4.49727691104652e-08,-0.116897499084089,0.28,0.352,0.0012591475895548,"1","Slbp"
"Gpx8",5.18628475573949e-08,-0.138445451209538,0.507,0.575,0.00145205600591194,"1","Gpx8"
"Rhob.1",5.28966706182263e-08,-0.123867688503241,0.263,0.332,0.0014810009839691,"1","Rhob"
"Adamts1.1",8.45737925464146e-08,-0.185131327247215,0.222,0.247,0.00236789704371452,"1","Adamts1"
"Serpinb9.1",1.07948589815487e-07,-0.149209519310821,0.269,0.324,0.003022344617654,"1","Serpinb9"
"Mrc2",1.73239675631062e-07,-0.10026945232312,0.117,0.138,0.00485036443831848,"1","Mrc2"
"Elf3.1",2.15813452082437e-07,-0.128989675004554,0.19,0.235,0.00604234503140408,"1","Elf3"
"Efna1.1",2.87882773961326e-07,-0.166382609347153,0.254,0.285,0.0080601419053692,"1","Efna1"
"Zfp503.1",4.25599291493051e-07,-0.1068631705522,0.215,0.276,0.0119159289632224,"1","Zfp503"
"Ptpn18.1",4.6589410213213e-07,-0.19201553734098,0.262,0.309,0.0130441030714954,"1","Ptpn18"
"Gadd45b.1",5.47596145846205e-07,-0.130189576006918,0.311,0.378,0.0153315968914021,"1","Gadd45b"
"Rabac1.1",5.66080009666331e-07,-0.118924392677162,0.781,0.829,0.0158491081106379,"1","Rabac1"
"Ptov1",8.21417493896031e-07,-0.108407665806358,0.624,0.684,0.0229980469941011,"1","Ptov1"
"Anxa6.1",1.22292419882678e-06,-0.12579588612227,0.489,0.506,0.0342394317187521,"1","Anxa6"
"Sfn.1",1.25755369620077e-06,-0.143304688120148,0.179,0.236,0.0352089883862293,"1","Sfn"
"Hacd1.1",1.55221536022632e-06,-0.132193813847984,0.337,0.398,0.0434589256556165,"1","Hacd1"
"Txnip.1",1.75959075922295e-06,-0.146891430719593,0.559,0.588,0.0492650220767241,"1","Txnip"
"Nnat.1",1.93939191222952e-06,-0.101181597809565,0.282,0.263,0.054299094758602,"1","Nnat"
"Fam162a.1",3.44091550006939e-06,-0.109637382813871,0.477,0.544,0.0963387521709428,"1","Fam162a"
"Rps18",3.89270133124842e-06,-0.125998912655203,0.997,0.997,0.108987851872293,"1","Rps18"
"Rps20",1.06154115165314e-05,-0.103195473822934,0.997,0.997,0.297210291639846,"1","Rps20"
"Bmp4",1.32862045009187e-05,-0.100561953252338,0.197,0.245,0.37198715361672,"1","Bmp4"
"Nenf.1",2.61039701034132e-05,-0.137790088432736,0.76,0.778,0.730858954955364,"1","Nenf"
"Fads3.1",9.05288448808885e-05,-0.120039211017701,0.291,0.32,1,"1","Fads3"
"Capg",0.000119507377476275,-0.108026416575438,0.262,0.305,1,"1","Capg"
"Ubb.1",0.000484205776722301,-0.19358935930723,0.987,0.992,1,"1","Ubb"
"Socs3.1",0.00118381433208721,-0.129525101127708,0.223,0.266,1,"1","Socs3"
"Cytip",0.00137774961953486,-0.1111798520744,0.147,0.174,1,"1","Cytip"
"H1f0.1",0.00827627785091645,-0.147400856853711,0.668,0.685,1,"1","H1f0"
"Acta2.2",0,3.27985112552227,0.942,0.104,0,"2","Acta2"
"Eln.2",0,2.98621972892699,0.913,0.372,0,"2","Eln"
"Tagln.2",0,2.93813074843029,0.953,0.066,0,"2","Tagln"
"Aspn.2",0,2.69406653795145,0.625,0.052,0,"2","Aspn"
"Tgfbi.2",0,2.62273269900196,0.744,0.093,0,"2","Tgfbi"
"Mustn1.2",0,2.58324343770185,0.826,0.08,0,"2","Mustn1"
"Lgals1.2",0,2.50379137873818,0.997,0.387,0,"2","Lgals1"
"Myl9.2",0,2.48408238344086,0.965,0.098,0,"2","Myl9"
"P2ry14.2",0,2.25230019154986,0.876,0.038,0,"2","P2ry14"
"Postn.2",0,2.18907686031691,0.755,0.037,0,"2","Postn"
"Serpine2.2",0,2.11839853359013,0.908,0.254,0,"2","Serpine2"
"Ltbp2.2",0,2.0505770244621,0.876,0.068,0,"2","Ltbp2"
"Bgn.2",0,2.01516637371464,0.988,0.175,0,"2","Bgn"
"Actg2.2",0,1.99275471995034,0.725,0.021,0,"2","Actg2"
"Tpm2.2",0,1.9200805973656,0.867,0.134,0,"2","Tpm2"
"Gucy1a3.2",0,1.91467013552032,0.509,0.046,0,"2","Gucy1a3"
"Des.2",0,1.87593837224758,0.844,0.023,0,"2","Des"
"Cald1.2",0,1.8441946833296,0.988,0.478,0,"2","Cald1"
"Igf1.2",0,1.82032277724116,0.677,0.065,0,"2","Igf1"
"Fstl1.2",0,1.80970822264091,0.965,0.265,0,"2","Fstl1"
"Htra1.2",0,1.77312635635328,0.675,0.171,0,"2","Htra1"
"Lhfp.2",0,1.77131260270174,0.935,0.224,0,"2","Lhfp"
"Pde5a.2",0,1.7525653430385,0.795,0.075,0,"2","Pde5a"
"Spon2.2",0,1.72359019241694,0.787,0.06,0,"2","Spon2"
"Filip1l.2",0,1.72323585942461,0.902,0.361,0,"2","Filip1l"
"Rarres2.2",0,1.71136096483471,0.923,0.087,0,"2","Rarres2"
"Mdk.2",0,1.70032414801428,0.939,0.133,0,"2","Mdk"
"Col3a1.2",0,1.69525651852052,0.984,0.146,0,"2","Col3a1"
"Gm13889.2",0,1.66182369855897,0.821,0.104,0,"2","Gm13889"
"Tnc.2",0,1.64745467975424,0.722,0.053,0,"2","Tnc"
"Mylk.2",0,1.61900891185229,0.9,0.163,0,"2","Mylk"
"Mfap2.2",0,1.58913106624292,0.947,0.243,0,"2","Mfap2"
"Pdgfrb.2",0,1.5487352387661,0.605,0.02,0,"2","Pdgfrb"
"Ckb.2",0,1.51691543653472,0.825,0.166,0,"2","Ckb"
"Loxl2.2",0,1.50862978717023,0.746,0.068,0,"2","Loxl2"
"Col1a2.2",0,1.49442331256503,0.993,0.131,0,"2","Col1a2"
"Pdlim3.2",0,1.48467745310479,0.692,0.157,0,"2","Pdlim3"
"Mgp.2",0,1.44108963734312,0.731,0.192,0,"2","Mgp"
"Wnt5a.2",0,1.43024917676413,0.658,0.064,0,"2","Wnt5a"
"Agt.2",0,1.42842477915414,0.573,0.018,0,"2","Agt"
"Myh11.2",0,1.42828141343902,0.7,0.018,0,"2","Myh11"
"Loxl1.2",0,1.4021258041321,0.765,0.098,0,"2","Loxl1"
"Hmcn1.2",0,1.38607864596333,0.712,0.193,0,"2","Hmcn1"
"Col1a1.2",0,1.35372755594461,0.933,0.122,0,"2","Col1a1"
"Sdc2.2",0,1.33875911557339,0.749,0.137,0,"2","Sdc2"
"Angptl2.2",0,1.32521752124043,0.735,0.04,0,"2","Angptl2"
"Cnn1.1",0,1.32389259677101,0.374,0.011,0,"2","Cnn1"
"Rgs2.2",0,1.31710067453709,0.621,0.122,0,"2","Rgs2"
"Ppp1r14a.2",0,1.30340703656054,0.59,0.091,0,"2","Ppp1r14a"
"Rcn3.2",0,1.30264932301236,0.777,0.097,0,"2","Rcn3"
"Net1.2",0,1.3023357491634,0.703,0.272,0,"2","Net1"
"Nrep.2",0,1.27974114216318,0.907,0.521,0,"2","Nrep"
"Lmcd1.2",0,1.26696889397549,0.597,0.081,0,"2","Lmcd1"
"Selm.2",0,1.2653471717453,0.855,0.145,0,"2","Selm"
"Prss35.2",0,1.24466218525736,0.542,0.029,0,"2","Prss35"
"Zeb2.2",0,1.23321787411251,0.833,0.167,0,"2","Zeb2"
"6330403K07Rik.2",0,1.22011198213215,0.631,0.027,0,"2","6330403K07Rik"
"Sparcl1.2",0,1.21876277694148,0.779,0.163,0,"2","Sparcl1"
"Socs2.1",0,1.20180727068681,0.891,0.398,0,"2","Socs2"
"Col5a1.2",0,1.2007991946001,0.735,0.06,0,"2","Col5a1"
"Egfem1.2",0,1.19273480630723,0.551,0.015,0,"2","Egfem1"
"Wisp1.2",0,1.19213182319284,0.605,0.033,0,"2","Wisp1"
"Adamts2.2",0,1.1898551548316,0.672,0.066,0,"2","Adamts2"
"Cst3.2",0,1.18020262367907,0.996,0.917,0,"2","Cst3"
"Cd248.2",0,1.15870401457987,0.533,0.027,0,"2","Cd248"
"Map1b.2",0,1.1408874920761,0.631,0.099,0,"2","Map1b"
"Fbn1.2",0,1.13166321030599,0.798,0.098,0,"2","Fbn1"
"Olfml2b.2",0,1.12869809082049,0.618,0.089,0,"2","Olfml2b"
"Adam33.2",0,1.12533632679709,0.487,0.011,0,"2","Adam33"
"Col6a3.2",0,1.12348364066686,0.717,0.081,0,"2","Col6a3"
"Kcnk3.2",0,1.11735647696849,0.595,0.029,0,"2","Kcnk3"
"Dkk3.2",0,1.10659835127669,0.715,0.058,0,"2","Dkk3"
"Fxyd1.2",0,1.1002978767051,0.729,0.082,0,"2","Fxyd1"
"Car2.2",0,1.08847920272716,0.753,0.605,0,"2","Car2"
"Serpinh1.2",0,1.07293932945575,0.976,0.684,0,"2","Serpinh1"
"1500009L16Rik.2",0,1.07242696543172,0.692,0.05,0,"2","1500009L16Rik"
"C1qtnf7.2",0,1.06622689962086,0.633,0.043,0,"2","C1qtnf7"
"Cnn3.2",0,1.05996463446216,0.877,0.395,0,"2","Cnn3"
"Lsp1.2",0,1.05413087643221,0.68,0.131,0,"2","Lsp1"
"Hoxb2.2",0,1.04428310645458,0.638,0.047,0,"2","Hoxb2"
"Col27a1.2",0,1.03014990259231,0.612,0.059,0,"2","Col27a1"
"Col5a2.2",0,1.02577329554672,0.763,0.158,0,"2","Col5a2"
"F2r.2",0,1.0182987047065,0.637,0.235,0,"2","F2r"
"Foxf2.2",0,0.998671769826285,0.586,0.034,0,"2","Foxf2"
"C1qtnf2.2",0,0.9922858204606,0.652,0.066,0,"2","C1qtnf2"
"Vim.2",0,0.987430709366643,0.969,0.365,0,"2","Vim"
"Maged2.2",0,0.979572828996093,0.634,0.256,0,"2","Maged2"
"Pam.2",0,0.97184734513788,0.742,0.307,0,"2","Pam"
"Fndc1.2",0,0.971487292306593,0.544,0.031,0,"2","Fndc1"
"Plat.2",0,0.9700627172826,0.491,0.076,0,"2","Plat"
"Tbx2.2",0,0.963636739411477,0.662,0.096,0,"2","Tbx2"
"Flna.2",0,0.954999056672059,0.885,0.474,0,"2","Flna"
"P4ha3.2",0,0.950728671601882,0.558,0.115,0,"2","P4ha3"
"Mxra8.2",0,0.941267607592712,0.723,0.173,0,"2","Mxra8"
"Nes.2",0,0.939975201943173,0.618,0.101,0,"2","Nes"
"Sparc.2",0,0.934618345362571,1,0.792,0,"2","Sparc"
"Adamts10.2",0,0.922403597325913,0.684,0.209,0,"2","Adamts10"
"Ghr.2",0,0.908093375177251,0.709,0.247,0,"2","Ghr"
"Nexn.2",0,0.90103888905187,0.623,0.106,0,"2","Nexn"
"Mxra7.2",0,0.890290543282077,0.623,0.111,0,"2","Mxra7"
"Fgf18.2",0,0.887580151995211,0.438,0.084,0,"2","Fgf18"
"Col6a2.2",0,0.884482872097313,0.708,0.116,0,"2","Col6a2"
"Tpm1.2",0,0.87716924192401,0.957,0.793,0,"2","Tpm1"
"Tgfb3.2",0,0.872156365697368,0.59,0.164,0,"2","Tgfb3"
"Myh10.2",0,0.862822777515746,0.688,0.23,0,"2","Myh10"
"Rrad.2",0,0.854512337646696,0.426,0.028,0,"2","Rrad"
"Tshz2.2",0,0.851937140233255,0.569,0.158,0,"2","Tshz2"
"Tgfb1i1.2",0,0.85175832458523,0.747,0.217,0,"2","Tgfb1i1"
"Copz2.2",0,0.847899603271583,0.708,0.221,0,"2","Copz2"
"Eva1b.2",0,0.846280342209356,0.863,0.57,0,"2","Eva1b"
"Emp3.2",0,0.844587970253669,0.775,0.211,0,"2","Emp3"
"Aard.2",0,0.842560896125822,0.51,0.087,0,"2","Aard"
"Grb10.2",0,0.836434840884744,0.674,0.284,0,"2","Grb10"
"Fam129a.2",0,0.836379515317601,0.54,0.126,0,"2","Fam129a"
"Celf2.2",0,0.83136750901783,0.73,0.431,0,"2","Celf2"
"Prdm6.2",0,0.830985987552526,0.556,0.037,0,"2","Prdm6"
"Pdgfrl.2",0,0.825445640107609,0.488,0.034,0,"2","Pdgfrl"
"Arhgap42.2",0,0.823245401157395,0.491,0.056,0,"2","Arhgap42"
"Ifitm3.2",0,0.822261489084708,0.949,0.489,0,"2","Ifitm3"
"Ilk.2",0,0.815359628502316,0.802,0.443,0,"2","Ilk"
"S100b.1",0,0.81471136613498,0.333,0.021,0,"2","S100b"
"Tmem178.1",0,0.809499430357636,0.436,0.062,0,"2","Tmem178"
"Cd44.2",0,0.795136272350071,0.665,0.214,0,"2","Cd44"
"Pdlim7.2",0,0.788317643768945,0.679,0.266,0,"2","Pdlim7"
"Col6a1.1",0,0.782429799749426,0.724,0.207,0,"2","Col6a1"
"Csrp1.2",0,0.781603825801461,0.909,0.721,0,"2","Csrp1"
"Hoxb5.2",0,0.780434080713092,0.485,0.034,0,"2","Hoxb5"
"Ddr2.2",0,0.774653191889012,0.511,0.045,0,"2","Ddr2"
"Creb5.2",0,0.773099400975947,0.477,0.082,0,"2","Creb5"
"Palld.2",0,0.771376190829931,0.51,0.1,0,"2","Palld"
"Gpc4.2",0,0.770980688800432,0.473,0.063,0,"2","Gpc4"
"Rcn1.2",0,0.769524641871671,0.648,0.214,0,"2","Rcn1"
"Mir143hg.2",0,0.756011023140782,0.408,0.021,0,"2","Mir143hg"
"Vsnl1",0,0.755624058289618,0.324,0.008,0,"2","Vsnl1"
"Tbx5.2",0,0.74351569693242,0.417,0.027,0,"2","Tbx5"
"Creb3l2.1",0,0.743338813272079,0.659,0.367,0,"2","Creb3l2"
"Kdelr3.2",0,0.74127334537908,0.523,0.104,0,"2","Kdelr3"
"Adamts8.2",0,0.740970744321801,0.365,0.023,0,"2","Adamts8"
"Fkbp10.2",0,0.731615564517021,0.562,0.13,0,"2","Fkbp10"
"P3h3.2",0,0.730352929933429,0.498,0.05,0,"2","P3h3"
"Dbn1.2",0,0.728462979291171,0.528,0.096,0,"2","Dbn1"
"Fhl1.2",0,0.726102084898285,0.855,0.363,0,"2","Fhl1"
"Lrp1.2",0,0.721280268324674,0.597,0.104,0,"2","Lrp1"
"Calu.2",0,0.719392455422242,0.761,0.436,0,"2","Calu"
"Chn1.2",0,0.717421877201063,0.438,0.039,0,"2","Chn1"
"Map1lc3a.1",0,0.717186171844374,0.935,0.747,0,"2","Map1lc3a"
"Rab34.2",0,0.708259570262858,0.639,0.244,0,"2","Rab34"
"Hlf.2",0,0.702305127883242,0.412,0.013,0,"2","Hlf"
"Tnfrsf19.2",0,0.679377796985199,0.417,0.03,0,"2","Tnfrsf19"
"Adgrg2.2",0,0.673387148763589,0.351,0.029,0,"2","Adgrg2"
"Pgf.1",0,0.662247805877201,0.33,0.01,0,"2","Pgf"
"Lgr6.1",0,0.6587585523817,0.349,0.008,0,"2","Lgr6"
"Ism1.2",0,0.655383249643114,0.409,0.035,0,"2","Ism1"
"Lhfpl2.2",0,0.654588840085496,0.416,0.044,0,"2","Lhfpl2"
"Hoxb4.2",0,0.650005923693241,0.468,0.056,0,"2","Hoxb4"
"Col16a1.2",0,0.643796903808462,0.437,0.048,0,"2","Col16a1"
"Ndufa11.2",0,0.636153849835828,0.912,0.786,0,"2","Ndufa11"
"Gypc.2",0,0.62855418628661,0.422,0.043,0,"2","Gypc"
"Jam3.2",0,0.595486550860255,0.411,0.027,0,"2","Jam3"
"Ntrk3.1",0,0.586355767372195,0.33,0.011,0,"2","Ntrk3"
"Nnmt.2",0,0.574130390495627,0.365,0.023,0,"2","Nnmt"
"Ccdc3",0,0.549354814868257,0.309,0.006,0,"2","Ccdc3"
"Trim67",0,0.534443718925779,0.311,0.008,0,"2","Trim67"
"Mark1",0,0.492996588142635,0.309,0.01,0,"2","Mark1"
"Foxf1.2",0,0.1799914855649,0.592,0.176,0,"2","Foxf1"
"Smim22.1",0,-0.724855753510986,0.022,0.48,0,"2","Smim22"
"Prr15l.2",0,-0.726918766268149,0.024,0.469,0,"2","Prr15l"
"Crb3.2",0,-0.764288052937345,0.022,0.512,0,"2","Crb3"
"Cmtm8.2",0,-0.76746952856423,0.028,0.512,0,"2","Cmtm8"
"Rab25.2",0,-0.774488827943547,0.025,0.472,0,"2","Rab25"
"Myh14.1",0,-0.777239270247072,0.024,0.47,0,"2","Myh14"
"Atp8a1.2",0,-0.825453417282626,0.052,0.537,0,"2","Atp8a1"
"Adgrf5.1",0,-0.836553478664188,0.031,0.479,0,"2","Adgrf5"
"Mal2.2",0,-0.925419126381039,0.026,0.522,0,"2","Mal2"
"Vamp8.2",0,-0.927296132829369,0.639,0.875,0,"2","Vamp8"
"H2-K1.1",0,-0.96225260445928,0.119,0.681,0,"2","H2-K1"
"Pdzk1ip1.2",0,-1.02056974088956,0.023,0.464,0,"2","Pdzk1ip1"
"Tmsb4x.2",0,-1.02784240510479,1,1,0,"2","Tmsb4x"
"Cdh1.2",0,-1.06609106140278,0.038,0.544,0,"2","Cdh1"
"Cldn7.1",0,-1.07551212529175,0.028,0.561,0,"2","Cldn7"
"Serpinb6b.1",0,-1.08046829692994,0.067,0.564,0,"2","Serpinb6b"
"Gprc5a.2",0,-1.10070442982821,0.031,0.483,0,"2","Gprc5a"
"Mgst1.1",0,-1.10919477565629,0.096,0.614,0,"2","Mgst1"
"S100a16.2",0,-1.15080447110104,0.114,0.67,0,"2","S100a16"
"Cldn3.1",0,-1.17669556197848,0.04,0.542,0,"2","Cldn3"
"Ucp2.2",0,-1.19640945959562,0.131,0.746,0,"2","Ucp2"
"Alcam.2",0,-1.20118881687897,0.05,0.656,0,"2","Alcam"
"H2-D1",0,-1.2795351873496,0.228,0.822,0,"2","H2-D1"
"Epcam.1",0,-1.28961338174019,0.034,0.599,0,"2","Epcam"
"Atp1b1.2",0,-1.29097737111254,0.126,0.643,0,"2","Atp1b1"
"Muc1.2",0,-1.29158964513071,0.052,0.564,0,"2","Muc1"
"Ezr.2",0,-1.29565615880748,0.117,0.671,0,"2","Ezr"
"Neat1.2",0,-1.31363498464289,0.127,0.704,0,"2","Neat1"
"Anxa3.2",0,-1.34009624067916,0.274,0.726,0,"2","Anxa3"
"Bcam.2",0,-1.34045238798977,0.216,0.716,0,"2","Bcam"
"Tspan8.2",0,-1.3473524082507,0.044,0.59,0,"2","Tspan8"
"Cd9.2",0,-1.3716438461226,0.305,0.819,0,"2","Cd9"
"Bex4.2",0,-1.39314551416457,0.115,0.648,0,"2","Bex4"
"Clic3.1",0,-1.4743447776655,0.058,0.566,0,"2","Clic3"
"Chchd10.1",0,-1.48765282461499,0.091,0.683,0,"2","Chchd10"
"Lmo7.2",0,-1.50222037949197,0.052,0.577,0,"2","Lmo7"
"Spint2.2",0,-1.50268873881598,0.238,0.735,0,"2","Spint2"
"Lgals3.2",0,-1.52430211222268,0.06,0.527,0,"2","Lgals3"
"Ctsh.2",0,-1.64321075929856,0.101,0.719,0,"2","Ctsh"
"Krt7.2",0,-1.67333999506697,0.065,0.554,0,"2","Krt7"
"Cystm1.2",0,-1.73488744660528,0.133,0.673,0,"2","Cystm1"
"Krt8.2",0,-1.7432531905577,0.065,0.575,0,"2","Krt8"
"Krt18.2",0,-1.76906929730449,0.06,0.581,0,"2","Krt18"
"Cldn18.2",0,-1.86187597571054,0.078,0.673,0,"2","Cldn18"
"Ly6e.2",0,-1.97126122988958,0.108,0.704,0,"2","Ly6e"
"Sftpd.1",0,-1.99577543787868,0.081,0.628,0,"2","Sftpd"
"Wfdc2.2",0,-2.56860110490249,0.156,0.746,0,"2","Wfdc2"
"Pmepa1.2",1.48219693752374e-323,0.835294435624736,0.635,0.259,4.14985498567897e-319,"2","Pmepa1"
"Col12a1.2",1.97626258336499e-323,0.852310009535554,0.444,0.085,5.53313998090529e-319,"2","Col12a1"
"Smagp.1",5.92878775009496e-323,-0.725431353414889,0.023,0.455,1.65994199427159e-318,"2","Smagp"
"Picalm.2",1.87744945419674e-322,0.770944584290973,0.673,0.343,5.25648298186002e-318,"2","Picalm"
"Krt19.2",1.97626258336499e-322,-1.91240037910115,0.083,0.52,5.53313998090529e-318,"2","Krt19"
"Fxyd3.2",9.63428009390431e-322,-1.26810454506411,0.03,0.454,2.69740574069133e-317,"2","Fxyd3"
"Rbms3.2",1.48713759398215e-321,0.721054280603241,0.679,0.328,4.16368783563123e-317,"2","Rbms3"
"Cygb.2",5.96831300176226e-321,0.746930492996612,0.435,0.052,1.6710082742334e-316,"2","Cygb"
"Wnt11.1",8.07145164297928e-319,0.522683538455709,0.321,0.016,2.25984503100134e-314,"2","Wnt11"
"Mal.2",2.52803015598403e-318,-1.26036178588962,0.034,0.464,7.07797883072409e-314,"2","Mal"
"Cd74.2",5.04238951554764e-318,-2.26522645395041,0.072,0.519,1.41176821656303e-313,"2","Cd74"
"Tspan3.1",8.54050126297464e-317,0.657449461838377,0.766,0.454,2.39116954360764e-312,"2","Tspan3"
"Pdgfra.2",4.2926681190689e-316,0.854684345419531,0.36,0.03,1.20186121997691e-311,"2","Pdgfra"
"Lmod1",2.57369357054082e-315,0.616405182955727,0.291,0.01,7.20582725880019e-311,"2","Lmod1"
"Tmem238.1",2.57950196437434e-315,-0.713286848289683,0.078,0.545,7.22208959985527e-311,"2","Tmem238"
"Tspan15.2",4.12010696211888e-315,-0.736447320670242,0.03,0.463,1.15354754725404e-310,"2","Tspan15"
"Lix1l.2",4.43016185021697e-315,0.618102000244622,0.465,0.068,1.24035671482375e-310,"2","Lix1l"
"Axl.2",7.11787851567344e-313,0.635360797511172,0.428,0.054,1.99286362681825e-308,"2","Axl"
"Pamr1.2",7.93272606704723e-313,0.659590746238006,0.355,0.042,2.22100464425188e-308,"2","Pamr1"
"Itih5",1.93876233156455e-312,0.66768832802696,0.292,0.01,5.42814677591442e-308,"2","Itih5"
"Lpar1.2",4.0196876714684e-310,0.730316283282829,0.383,0.058,1.12543215425772e-305,"2","Lpar1"
"Arhgef25.2",8.01497370280905e-308,0.538074980890525,0.401,0.043,2.24403233731248e-303,"2","Arhgef25"
"Aqp5.2",2.24280652792707e-307,-1.4791432739688,0.042,0.476,6.2794097168902e-303,"2","Aqp5"
"Tuba1a.2",5.71284314437781e-306,0.793944065867655,0.939,0.587,1.5994818235629e-301,"2","Tuba1a"
"Etv1.2",1.95680496649682e-305,0.644986443455813,0.378,0.035,5.47866254519781e-301,"2","Etv1"
"Thbs2",4.98148041414322e-305,0.54894732913559,0.299,0.011,1.39471488635182e-300,"2","Thbs2"
"Clip3",1.19759554546144e-304,0.444580163736795,0.293,0.01,3.35302800818294e-300,"2","Clip3"
"Egflam.2",1.25638563114658e-304,0.620248827401116,0.395,0.042,3.51762849008419e-300,"2","Egflam"
"Atp2b4.2",1.95638513342663e-304,0.566836132152039,0.364,0.034,5.47748709656788e-300,"2","Atp2b4"
"Kcnj8",3.23986423744254e-304,0.604605217584337,0.303,0.013,9.07097189199161e-300,"2","Kcnj8"
"Lsr.2",3.65094581956449e-304,-0.59907119437916,0.018,0.427,1.02219181056167e-299,"2","Lsr"
"Ednra.2",1.19780421302117e-303,0.667694979847076,0.433,0.056,3.35361223561667e-299,"2","Ednra"
"Tspan13.2",6.08859566264088e-303,-1.15365697144229,0.035,0.46,1.70468501362619e-298,"2","Tspan13"
"Fibin.2",6.5508834823939e-302,0.819749323082889,0.456,0.067,1.83411635740064e-297,"2","Fibin"
"Tpm4.2",1.64690884008158e-301,0.686929941044037,0.917,0.756,4.6110153704604e-297,"2","Tpm4"
