"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0.95,10,0.695,0.732,0.769,0.054,0.061,0.068
0.95,50,0.856,0.877,0.898,0.065,0.071,0.077
0.95,100,0.89,0.91,0.93,0.065,0.071,0.077
0.95,500,0.938,0.96,0.982,0.069,0.077,0.085
0.95,1000,0.954,0.977,1,0.073,0.08,0.087
0.95,2000,0.976,0.987,0.998,0.069,0.079,0.089
0.95,3000,0.98,0.989,0.998,0.079,0.084,0.089
1,10,0.984,0.992,1,0.02,0.02,0.02
1,50,0.994,0.998,1.002,0.02,0.02,0.02
1,100,0.996,0.999,1.002,0.02,0.02,0.02
1,500,0.996,0.999,1.002,0.02,0.02,0.02
1,1000,1,1,1,0.02,0.02,0.02
1,2000,1,1,1,0.02,0.02,0.02
1,3000,1,1,1,0.02,0.02,0.02
