"q","nCells","accLB","acc","accUB","recallLB","recall","recallUB"
0.95,1000,0.7,0.709,0.718,0.134,0.147,0.159
0.95,2000,0.669,0.679,0.689,0.046,0.052,0.057
0.95,3000,0.645,0.656,0.668,-0.085,0.093,0.27
1,10,1,1,1,0.019,0.019,0.019
1,50,1,1,1,0.019,0.019,0.019
1,100,1,1,1,0.019,0.019,0.019
1,500,1,1,1,0.019,0.019,0.019
1,1000,1,1,1,0.019,0.019,0.019
1,2000,1,1,1,0.019,0.019,0.019
1,3000,1,1,1,0.019,0.019,0.019
