"","X12.5","X13","X13.5","X14","X14.5","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
"Cre03.g211745",5.19558510872081,4.84878301680163,4.64768845441961,4.5727723208341,4.54351572668798,4.55250667052689,4.60469158937877,4.8205664212044,4.75002207219733,5.05494232657388,5.23276389819295,5.33855721416654,5.49966685636326,6.06820830516536,5.25567206768552
"Cre03.g213537",10.3936780747758,10.4083695455846,10.5253252729736,10.5334532698851,10.4990206308847,10.7723262995375,10.542076124721,10.3772506419617,10.3623080842111,10.1719356082827,10.2054607660048,10.0550868724698,9.91548705251959,9.92831667773317,10.1624275153477
"Cre04.g211600",5.18299865448534,4.60500778298077,4.49216473662362,4.55577760847365,4.48271178290507,4.32786130828027,4.41331135872162,4.77561772461138,4.69368678528622,5.3385878770394,5.31167261720876,5.63136396486729,5.68337961226815,5.91374692687796,5.37192842297036
"Cre04.g214050",3.06100501006291,2.91337732224311,2.91346234146817,2.91948886358186,2.98201583667313,2.97029011623695,2.89467370151352,2.83101556748857,2.82437220306239,2.84529235554517,2.77920576448696,2.92235501604213,2.86290874377779,2.86456699276157,2.28426477099932
"Cre04.g214503",10.6159865154192,10.8195274285253,10.8545916837419,10.888119703147,10.9914117011778,11.0245137803573,11.122754846324,10.9361088720098,10.8834603676241,10.6703801112144,10.7147138786711,10.3020331708787,10.3013975976503,10.3968705177487,10.2887428147655
"Cre04.g215050",0.123933383555177,0.425951460340169,0.95680375591155,1.07076871251721,1.17988848234009,1.12844947041831,0.871649763944128,0.902435675051292,0.918557862467221,0.816497017132437,0.460565805592583,0.295758330899389,0.285231465513021,0.455665551365314,1.63032599649239
"Cre04.g215350",3.01746824326576,3.6814919904048,4.0539157154151,4.31720498982393,4.33186468369562,4.31981444662574,4.31712767566098,4.49958700896455,4.40776971894286,4.82692969771121,4.63852669393727,4.91089496163208,4.74622936038779,4.52043832691132,4.60099455034291
"Cre04.g215650",4.3314536518833,3.85558912494896,3.90787377917144,3.8312382390426,3.92068606117271,3.77429791821052,3.83372642539931,3.70499243238293,3.31690449095666,2.87817514714872,2.8414259609097,2.25203717647075,2.13319913616636,1.91554846061278,1.71085806090945
"Cre04.g215750",4.43533358030471,4.42895579742604,4.29708641183809,4.21674974096103,4.3976848396485,4.3589746720929,4.1204803866508,4.19660889783356,4.15746051153652,4.07713180131975,3.86791964447268,3.87488471194222,3.87940421852079,3.89142999589363,3.84919846422646
"Cre04.g216600",6.3723756061288,5.88274871768671,5.39331267799004,5.21334426827313,5.22948991225547,5.16340044978727,5.13385215197987,5.20906376438958,5.06497842788195,5.01504593725249,4.90903934006461,4.86946078543243,4.91650291820666,5.10790587816974,4.90392604156468
"Cre04.g217550",5.59603048292335,5.33878937810399,5.37791854869841,5.59202151239064,5.70177689776861,5.53748240762638,5.67644452378686,5.77100795004771,5.7771168488954,6.03926839356242,6.10869379675253,6.18147122797048,6.16069634685091,5.88159063981934,6.24112001476338
"Cre04.g217921",6.04873669394522,5.65259505566752,5.45243867665716,5.28769654900853,5.17052142497854,5.01691295435919,4.76425206036068,4.63509130831507,4.47139517520428,4.59533631700577,4.39625961542149,4.46716828314534,4.4721084681293,4.11970990507448,4.14942261901278
"Cre04.g220200",5.04104719013828,4.78052419317045,5.1019134931577,5.09588080380985,4.90936422631605,4.65943830660039,4.71953285498643,4.84541413882786,4.82524651159131,5.21491583097387,5.17384079424017,5.42402103416966,5.23319624178918,4.48867465429644,4.29109545882345
"Cre04.g220700",5.9760520229942,5.79240730845014,5.29225814289771,5.00158388593915,4.91584616669199,4.72674741043371,4.45941617805818,3.98419904930987,3.11099652434309,2.51878819204588,2.20536795957473,1.82127570180276,1.7847686345635,1.36847558357183,0.727109007526916
"Cre04.g221700",8.79568625245256,8.83802294999661,9.05540712468434,9.0581259194234,9.01460519671499,8.92115330448513,8.82706277806002,8.62484958004294,8.34352973926932,8.14929700191396,8.00062675272,7.79383181577715,7.57538435055379,7.4056837528036,6.92308581988381
