"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X11.5","X12"
"Cre13.g590300",0.555956345037874,0.792712044642004,1.99779833694081,2.84213165823198,3.20002813387352,3.48283951089593,3.76228703746007,4.12359354401917,4.11066638926723,3.92080604280086,3.42008053357042,3.19880565990612,2.98238459682453
"Cre13.g592450",4.70263082008009,5.24075304037761,5.48408916976383,5.66106450217974,5.90783424005404,5.95273846121713,6.03437121086611,6.29638535028631,6.46729126339265,6.72210941418601,6.8824441913483,7.06150118461178,7.04097172216258
"Cre13.g602350",7.21659501825074,7.9578400310063,7.75390813620569,7.46380165586068,7.24516322394169,7.1093918701955,6.88002385974961,6.59858422494194,6.1771617796256,5.45918085462854,5.29475444610238,5.37436041483866,5.53000159536352
"Cre13.g604750",6.50087579265882,5.03502734988392,5.01492077856836,5.26871021097528,5.25366581759699,5.26011564547869,4.97019366895127,4.71326339277747,4.38152756967577,4.27321516559588,4.35228356486766,4.37543973147976,4.46395980885424
"Cre13.g605150",4.15907516259639,4.25985684621661,3.59794272856854,4.35264244462977,5.2864614659283,6.14429867719876,6.65104592337529,7.00619591919422,7.22582708829471,7.37505173990805,7.1494553669502,7.10020507094664,7.03988739560709
"Cre13.g605650",2.33726620017592,4.06691054141535,4.25441715692858,4.38178287115665,4.14790126976348,4.25360039674867,3.85764647307212,3.46066222452391,3.02080219968166,3.69590104125967,4.05864674395968,4.3336575510493,4.36950028371205
"Cre13.g605800",2.49069344903575,2.3861030415674,2.61757746120804,2.64744672840109,2.51109511981703,2.56451206650425,2.85320836188703,3.16931373445647,3.41582590123934,3.95559642161628,3.97126041955422,3.9793575500528,3.88913166024187
"Cre13.g606850",5.50060822549962,4.56287171573944,3.80304790027793,2.9249338450421,2.32251647443782,2.41318780387383,1.86032310354069,1.82186345925381,2.44063946779138,3.34381031604245,3.61499503395836,3.64971877446914,3.71379969249651
"Cre13.g607050",1.81753878513301,2.02200161360298,2.54663345439361,3.99354643422052,4.46862253403842,4.51520538307305,4.77708971443509,4.93214498890483,5.23425460663119,5.4758693385768,5.47318888708152,5.46091564962225,5.44167444013725
"Cre13.g607450",2.03928783978996,3.18878400706442,3.56772916255427,3.89038338759336,3.85282597284069,3.95271573681989,3.64592737036116,3.3886056263609,2.98234070669045,3.16085944446932,3.31579225928671,3.39708314875742,3.32559761789144
"Cre13.g607600",2.19805644836282,2.78515495490037,3.07190077382515,3.47737151736969,3.22237286924136,3.00265507668703,2.8766733681657,2.51454641484889,2.28710889558223,2.44003270755935,2.64921258916111,2.63439459232766,2.94140563623351
"Cre14.g610000",2.01104184255268,1.7863599648037,2.62765499888344,2.75821215748627,2.84306002687138,2.94848101317484,2.88940141481441,2.83863783358366,3.17484858908814,3.67368622310799,3.77403934047437,3.72042628047683,3.82270060495712
"Cre14.g610950",4.63654531367758,5.06752101481795,4.92708000563133,4.93112070331746,5.13141101237034,5.29745175339585,5.49870342138517,6.04744408273489,6.5317457058371,6.91499245657943,7.05573643284168,7.02161885770167,7.02858418336352
"Cre14.g611150",5.9522759817429,6.18909642102977,6.02067925090655,5.84788691624124,5.63807553871699,5.86226452369066,5.93691439315655,6.32569584913951,6.46678779439798,6.8621647442237,6.89284078028341,6.88107472124378,6.93891845269836
"Cre14.g611552",2.96069364716882,2.09537063412831,3.13312688467327,3.91923750578094,3.73424327381534,3.71913577851512,3.58048801915143,3.54559078830913,3.4374987860601,3.55895778226135,3.4246413682262,3.23905555345245,3.46270529670544
"Cre14.g611750",3.75332223243306,2.72230703229049,3.30074010742442,3.07596937841428,3.05740671250858,3.3100530092971,3.38329161819517,3.69566325891929,3.44321873904961,3.52238972117241,3.37468929650595,3.29281900236523,3.44448045753539
"Cre14.g614300",6.59404342195441,6.14845813211005,5.57841047530982,5.07351968722877,4.72776327664198,4.76746275490943,4.5145607745627,4.26732170389647,4.65223652641746,5.37435782396394,5.5897893872678,5.49990982592395,5.55185635566601
"Cre14.g614350",5.26554367247631,4.4296598896474,4.08155768242331,4.11530182114958,4.56324396164663,4.60285728850302,4.69779625306491,4.98767515857651,5.09864946342071,5.48961950245787,5.60695736045575,5.58422169667762,5.5084912851584
"Cre14.g616950",5.45148284225045,4.75102140450713,4.33424452862976,4.29525699821276,4.18349398683244,4.22556878686546,4.21230915222272,4.11957942597868,4.00125799198109,4.22258003010066,4.3390204546892,4.33028719404557,4.40658034946703
"Cre14.g619133",3.58613733994542,3.46435179841207,4.07100146207865,4.73919723499679,4.93146250005184,5.00281655495377,5.29542199477262,5.72657749883881,6.32717786927423,6.76966400622181,6.89217882864936,6.77115269129206,6.8244150615969
